Open Price,Low Price,High Price,Close Price,Change Amount,Change Percent,Gregorian Date,Persian Date
846400,845100,849600,848500,2800,0.33%,2024/12/31,1403/10/11
850100,844300,854100,845700,2200,0.26%,2024/12/30,1403/10/10
837800,833500,852600,847900,10500,1.25%,2024/12/29,1403/10/09
852900,835300,857100,837400,15600,1.86%,2024/12/28,1403/10/08
834600,834500,853000,853000,20400,2.45%,2024/12/27,1403/10/07
822300,813000,833000,832600,8400,1.02%,2024/12/25,1403/10/05
824400,812700,826000,824200,1400,0.17%,2024/12/24,1403/10/04
813100,813100,825500,822800,9800,1.21%,2024/12/23,1403/10/03
797500,796400,818400,813000,16300,2.05%,2024/12/22,1403/10/02
796900,787300,797100,796700,100,0.01%,2024/12/21,1403/10/01
803100,796200,804400,796800,4800,0.6%,2024/12/20,1403/09/30
806800,799400,807000,801600,11500,1.43%,2024/12/18,1403/09/28
808400,808200,816700,813100,5400,0.67%,2024/12/17,1403/09/27
801800,801800,811800,807700,5600,0.7%,2024/12/16,1403/09/26
788700,788100,802200,802100,12800,1.62%,2024/12/15,1403/09/25
788900,787500,792600,789300,800,0.1%,2024/12/14,1403/09/24
769500,769500,790000,788500,20400,2.66%,2024/12/13,1403/09/23
770600,767400,771700,768100,6600,0.86%,2024/12/11,1403/09/21
763700,763700,774700,774700,11200,1.47%,2024/12/10,1403/09/20
763000,761500,767500,763500,1300,0.17%,2024/12/09,1403/09/19
762800,761500,768700,764800,1100,0.14%,2024/12/08,1403/09/18
759200,758000,766400,763700,4200,0.55%,2024/12/07,1403/09/17
756900,754600,759500,759500,4100,0.54%,2024/12/06,1403/09/16
750500,749800,755800,755400,5500,0.73%,2024/12/03,1403/09/13
743400,743400,752400,749900,7200,0.97%,2024/12/02,1403/09/12
738500,738400,747700,742700,300,0.04%,2024/12/01,1403/09/11
748300,741300,750000,742400,6100,0.82%,2024/11/30,1403/09/10
743200,743200,752800,748500,7500,1.01%,2024/11/29,1403/09/09
737600,736200,741100,741000,3200,0.43%,2024/11/27,1403/09/07
730000,729700,739300,737800,9100,1.25%,2024/11/26,1403/09/06
726600,726400,736600,728700,1500,0.21%,2024/11/25,1403/09/05
722300,710500,731200,727200,8600,1.2%,2024/11/24,1403/09/04
732500,715800,732600,718600,14000,1.95%,2024/11/23,1403/09/03
722100,722100,735000,732600,3300,0.45%,2024/11/22,1403/09/02
728500,728200,733100,729300,2300,0.32%,2024/11/20,1403/08/30
730900,726500,735300,727000,3600,0.5%,2024/11/19,1403/08/29
725700,722200,732000,730600,6000,0.83%,2024/11/18,1403/08/28
721400,720200,725200,724600,2900,0.4%,2024/11/17,1403/08/27
720500,720500,726100,721700,900,0.12%,2024/11/16,1403/08/26
721900,720200,724000,720800,600,0.08%,2024/11/15,1403/08/25
722700,717000,722700,721400,3800,0.53%,2024/11/13,1403/08/23
720600,720600,730700,725200,4200,0.58%,2024/11/12,1403/08/22
712900,711700,723300,721000,7000,0.98%,2024/11/11,1403/08/21
732100,713600,732100,714000,18900,2.65%,2024/11/10,1403/08/20
743700,732500,743700,732900,10900,1.49%,2024/11/09,1403/08/19
741000,741000,746800,743800,1900,0.26%,2024/11/08,1403/08/18
750300,742200,750400,745700,1400,0.19%,2024/11/06,1403/08/16
743300,741400,760700,747100,8300,1.11%,2024/11/05,1403/08/15
754300,748500,755900,755400,300,0.04%,2024/11/04,1403/08/14
759000,751900,760100,755100,100,0.01%,2024/11/03,1403/08/13
756300,753200,764200,755200,800,0.11%,2024/11/02,1403/08/12
742000,742000,757000,756000,10900,1.46%,2024/11/01,1403/08/11
754400,741300,754600,745100,9700,1.3%,2024/10/30,1403/08/09
742800,737400,756700,754800,13400,1.81%,2024/10/29,1403/08/08
731000,729800,745000,741400,8900,1.22%,2024/10/28,1403/08/07
717400,716700,732700,732500,15300,2.13%,2024/10/27,1403/08/06
710200,709000,722000,717200,6500,0.91%,2024/10/26,1403/08/05
739700,707400,739700,710700,29700,4.18%,2024/10/25,1403/08/04
736500,735300,743900,740400,4200,0.57%,2024/10/23,1403/08/02
714100,714000,737400,736200,20600,2.88%,2024/10/22,1403/08/01
701900,701900,715900,715600,13900,1.98%,2024/10/21,1403/07/30
697800,697700,704300,701700,3100,0.44%,2024/10/20,1403/07/29
695500,694100,700800,698600,3000,0.43%,2024/10/19,1403/07/28
695200,691600,696400,695600,3000,0.43%,2024/10/18,1403/07/27
690200,690000,695500,692600,600,0.09%,2024/10/16,1403/07/25
685500,685200,693300,692000,5000,0.73%,2024/10/15,1403/07/24
691400,685900,691500,687000,5200,0.76%,2024/10/14,1403/07/23
690400,689800,696000,692200,1100,0.16%,2024/10/13,1403/07/22
684900,684400,691600,691100,6400,0.93%,2024/10/12,1403/07/21
697000,684400,697000,684700,13100,1.91%,2024/10/11,1403/07/20
689900,689500,698300,697800,7100,1.03%,2024/10/09,1403/07/18
687800,686600,693000,690700,1900,0.28%,2024/10/08,1403/07/17
692800,687700,693600,688800,4900,0.71%,2024/10/07,1403/07/16
698600,689500,699000,693700,5900,0.85%,2024/10/06,1403/07/15
688100,688100,699600,699600,11300,1.64%,2024/10/05,1403/07/14
698300,682100,698300,688300,13700,1.99%,2024/10/04,1403/07/13
693900,692100,702400,702000,7100,1.02%,2024/10/02,1403/07/11
682500,682400,695500,694900,12700,1.86%,2024/10/01,1403/07/10
672300,672300,682900,682200,8100,1.2%,2024/09/30,1403/07/09
680100,672900,681300,674100,4900,0.73%,2024/09/29,1403/07/08
